Name,Tot. Statements,Tot. Branches,Deployed,Avg. Test Case Length,Branches Covered,Generations,Blockchain Time,Offchain Time,Total Time,Branch %
Casino,38,29,0,5.52,25.0,100,6675.188309,1543.910902999999,8219.099212,0.8620689655172413
MyAdvancedToken,53,3,1,3.3333333333333335,3.0,0,93.113597,35.84155200000001,128.955149,1.0
GuardCheck,10,14,0,5.142857142857143,14.0,0,59.762019,11.024847000000001,70.786866,1.0
Casino,38,29,0,5.84,25.0,100,6852.547195,1490.6447259999995,8343.191921,0.8620689655172413
Rubixi,56,102,1,2.656716417910448,67.0,100,4382.686017,1969.5676359999998,6352.253653,0.6568627450980392
Randomness,22,17,0,2.4375,16.0,100,6244.4947,1414.3749399999997,7658.86964,0.9411764705882353
OpenAddressLottery,30,34,1,2.625,32.0,100,18494.127454,4512.270730999997,23006.398185,0.9411764705882353
Reentrance,9,14,1,2.0,13.0,100,5617.346519,1144.4442020000006,6761.790721,0.9285714285714286
Greeter2,13,60,0,7.783333333333333,60.0,0,128.321613,59.941010999999975,188.262624,1.0
Reentrance,9,14,1,2.3846153846153846,13.0,100,5967.365854,1202.1775820000003,7169.543436,0.9285714285714286
OpenAddressLottery,30,34,1,2.03125,32.0,100,19783.766392,5588.010646999999,25371.777039,0.9411764705882353
Randomness,22,17,0,2.4375,16.0,100,6557.695812,1423.8211389999997,7981.516951,0.9411764705882353
Rubixi,56,102,1,4.402985074626866,67.0,100,3775.391429,1613.5768520000006,5388.968281,0.6568627450980392
GuardCheck,10,14,0,4.5,14.0,0,70.178572,13.949491999999992,84.128064,1.0
Casino,38,29,0,5.72,25.0,100,6386.419251,1402.770136,7789.189387,0.8620689655172413
Casino,38,29,0,5.72,25.0,100,5805.88993,1317.7716249999994,7123.661555,0.8620689655172413
MultiSigWallet (1),56,70,0,2.8548387096774195,61.0,100,12301.277028,4213.9028450000005,16515.179873,0.8714285714285714
MyAdvancedToken,53,3,1,2.0,3.0,0,94.073892,39.15742700000001,133.231319,1.0
GuardCheck,10,14,0,4.0,14.0,0,68.906426,14.702179000000001,83.608605,1.0
BadAuction,7,7,0,3.0,7.0,0,70.717705,13.662779,84.380484,1.0
OpenAddressLottery,30,34,1,2.03125,32.0,100,19790.996384,5481.389179000002,25272.385563,0.9411764705882353
Greeter2,13,60,0,6.5,60.0,0,121.402024,57.14229200000001,178.544316,1.0
Greeter2,13,60,0,5.85,60.0,0,119.147051,52.405912,171.552963,1.0
BadAuction,7,7,0,2.857142857142857,7.0,0,74.021684,14.50873700000001,88.530421,1.0
GuardCheck,10,14,0,5.357142857142857,14.0,0,125.828695,27.54545499999999,153.37415,1.0
MyAdvancedToken,53,3,1,2.3333333333333335,3.0,0,95.66901,36.814451000000005,132.483461,1.0
MultiSigWallet (1),56,70,0,6.225352112676056,70.0,69,7614.422575,2477.0810659999997,10091.503641,1.0
theRun,62,83,1,2.0588235294117645,34.0,100,8222.891109,2662.7450929999995,10885.636202,0.40963855421686746
Casino,38,29,0,5.72,25.0,100,6921.17335,1552.4897429999992,8473.663093,0.8620689655172413
FixedSupplyToken,39,22,1,2.0,21.0,100,5824.646322,1490.8761220000006,7315.522444,0.9545454545454546
Casino,38,29,0,5.88,25.0,100,7107.036802,1647.983220000001,8755.020022,0.8620689655172413
theRun,62,83,1,2.2058823529411766,34.0,100,6195.005704,2038.1521089999997,8233.157813,0.40963855421686746
GuardCheck,10,14,0,5.857142857142857,14.0,0,65.925518,14.922420000000002,80.847938,1.0
MyAdvancedToken,53,3,1,2.6666666666666665,3.0,0,88.444425,37.361603,125.806028,1.0
Greeter2,13,60,0,7.766666666666667,60.0,0,134.15083,66.89164799999998,201.042478,1.0
OpenAddressLottery,30,34,1,2.6875,32.0,100,19435.160745,5421.901507999999,24857.062253,0.9411764705882353
Prover,27,17,1,4.411764705882353,17.0,0,125.301795,51.53670299999999,176.838498,1.0
Prover,27,17,1,4.529411764705882,17.0,0,133.793186,52.625191,186.418377,1.0
OpenAddressLottery,30,34,1,3.0625,32.0,100,19520.217553,5216.558043000001,24736.775596,0.9411764705882353
Greeter2,13,60,0,5.316666666666666,60.0,0,114.762394,52.16734600000001,166.92974,1.0
theRun,62,83,1,2.0294117647058822,34.0,100,8875.738641,2799.415440999999,11675.154082,0.40963855421686746
MyAdvancedToken,53,3,1,2.6666666666666665,3.0,0,87.543687,35.82204999999999,123.365737,1.0
Casino,38,29,0,6.16,25.0,100,6539.348168,1333.5779819999998,7872.92615,0.8620689655172413
Rubixi,56,102,1,3.3582089552238807,67.0,100,3578.214741,1475.6189290000002,5053.83367,0.6568627450980392
FixedSupplyToken,39,22,1,2.0,21.0,100,6494.575157,1697.3654529999994,8191.94061,0.9545454545454546
GuardCheck,10,14,0,4.0,14.0,0,67.647092,15.087896,82.734988,1.0
MyAdvancedToken,53,3,1,2.6666666666666665,3.0,0,101.80671,41.85401399999999,143.660724,1.0
OpenAddressLottery,30,34,1,2.53125,32.0,100,19128.6915,5079.014359000001,24207.705859,0.9411764705882353
EzToken,31,11,1,3.8181818181818183,11.0,0,91.360244,36.49855600000001,127.8588,1.0
Greeter2,13,60,0,9.5,60.0,0,122.094907,57.18209999999999,179.277007,1.0
OpenAddressLottery,30,34,1,2.25,32.0,100,19237.83312,4975.636988000002,24213.470108,0.9411764705882353
DosAuction,7,7,1,2.857142857142857,7.0,0,51.565357,9.67194,61.237297,1.0
DosAuction,7,7,1,4.428571428571429,7.0,0,59.303121,10.568543999999996,69.871665,1.0
OpenAddressLottery,30,34,1,2.84375,32.0,100,20120.042876,5904.327757999999,26024.370634,0.9411764705882353
Greeter2,13,60,0,6.866666666666666,60.0,0,124.847209,57.795608,182.642817,1.0
EtherBank,13,17,0,2.4285714285714284,14.0,100,7318.559262,1417.4807740000006,8736.040036,0.8235294117647058
EzToken,31,11,1,6.181818181818182,11.0,0,102.693641,38.538458000000006,141.232099,1.0
MyAdvancedToken,53,3,1,2.3333333333333335,3.0,0,94.650344,38.05146899999998,132.701813,1.0
GuardCheck,10,14,0,3.142857142857143,14.0,0,66.786854,14.586643999999993,81.373498,1.0
Casino,38,29,0,6.4,25.0,100,6795.157277,1460.0416839999998,8255.198961,0.8620689655172413
Greeter3,15,73,0,8.397260273972602,73.0,2,358.780508,142.66416199999998,501.44467,1.0
IdentityManager,49,90,1,2.647887323943662,71.0,100,9752.726515,3593.7399540000006,13346.466469,0.7888888888888889
VulnerableTwoStep,11,10,0,4.4,10.0,0,61.409969,10.006574000000008,71.416543,1.0
EIP20StandardToken,24,13,1,5.0,13.0,0,71.71986,23.24145200000001,94.961312,1.0
EasyPayAndWithDraw,7,8,0,8.0,8.0,2,357.144585,66.89738899999998,424.041974,1.0
LotteryMultipleWinners,31,45,0,9.0,45.0,39,7501.892105,2485.4349379999994,9987.327043,1.0
EtherBank,13,17,0,2.142857142857143,14.0,100,5130.917289,957.3827039999996,6088.299993,0.8235294117647058
PermissionGroups,58,86,1,10.523255813953488,86.0,30,3665.199866,1210.0466050000005,4875.246471,1.0
FundRaising,23,21,0,5.714285714285714,21.0,0,61.067732,17.925470999999995,78.993203,1.0
SecureAuction,11,6,1,4.0,6.0,0,72.447249,18.050685,90.497934,1.0
BasicToken,11,8,0,5.125,8.0,0,75.503937,23.956784000000013,99.460721,1.0
BasicToken,11,8,0,2.125,8.0,0,63.193097,18.944933,82.13803,1.0
SecureAuction,11,6,1,4.0,6.0,0,81.831243,18.856624999999994,100.687868,1.0
FundRaising,23,21,0,8.19047619047619,21.0,0,57.370932,18.420475000000003,75.791407,1.0
EasyPayAndWithDraw,7,8,0,4.625,8.0,4,535.843075,96.63420900000006,632.477284,1.0
EtherBank,13,17,0,2.4285714285714284,14.0,100,5271.74348,1028.7915750000002,6300.535055,0.8235294117647058
LotteryMultipleWinners,31,45,0,9.022727272727273,44.0,100,12011.960065,3571.5424430000003,15583.502508,0.9777777777777777
EasyPayAndWithDraw,7,8,0,6.0,8.0,2,313.012156,58.93827299999998,371.950429,1.0
MyAdvancedToken,53,3,1,2.0,3.0,0,106.700293,42.846188,149.546481,1.0
EIP20StandardToken,24,13,1,5.0,13.0,0,74.897631,23.551514999999995,98.449146,1.0
FixedSupplyToken,39,22,1,2.8636363636363638,22.0,13,953.713457,256.73796700000014,1210.451424,1.0
IdentityManager,49,90,1,4.733333333333333,75.0,100,13548.251695,5257.459395,18805.71109,0.8333333333333334
Greeter3,15,73,0,7.7534246575342465,73.0,0,106.605924,46.045439,152.651363,1.0
MultiSigWallet (2),59,83,0,6.341463414634147,82.0,100,13984.28134,5036.100056000001,19020.381396,0.9879518072289156
VulnerableTwoStep,11,10,0,4.2,10.0,0,63.824694,13.338919999999995,77.163614,1.0
EIP20StandardToken,24,13,1,4.230769230769231,13.0,0,78.505103,26.211645999999988,104.716749,1.0
LotteryMultipleWinners,31,45,0,10.222222222222221,45.0,50,9079.772809,2973.0774899999997,12052.850299,1.0
Greeter,15,81,0,9.481481481481481,81.0,0,123.558175,56.823462000000006,180.381637,1.0
Gift_1_ETH,18,18,1,2.0714285714285716,14.0,100,6557.859665,1475.161153,8033.020818,0.7777777777777778
PermissionGroups,58,86,1,7.953488372093023,86.0,52,4990.89806,1731.4527709999993,6722.350831,1.0
FundRaising,23,21,0,5.333333333333333,21.0,0,59.242437,19.213283999999994,78.455721,1.0
MultiSigWallet (2),59,83,0,4.12987012987013,77.0,100,19507.332862,7318.2313859999995,26825.564248,0.927710843373494
TestDateTime,160,252,1,2.5375,240.0,100,11011.728926,6464.249993000001,17475.978919,0.9523809523809523
SecureAuction,11,6,1,4.0,6.0,0,68.820698,16.275237000000004,85.095935,1.0
BasicToken,11,8,0,2.625,8.0,0,69.706847,21.366443000000004,91.07329,1.0
BasicToken,11,8,0,5.625,8.0,0,76.44504,25.323536999999988,101.768577,1.0
SecureAuction,11,6,1,3.0,6.0,0,74.786926,18.848985,93.635911,1.0
TestDateTime,160,252,1,2.3333333333333335,240.0,100,8786.654148,5052.883225,13839.537373,0.9523809523809523
TestDateTime,160,252,1,2.1380753138075312,239.0,100,15744.233883,9852.405719999999,25596.639603,0.9484126984126984
MultiSigWallet (2),59,83,0,3.056338028169014,71.0,100,14013.498923,4524.589409,18538.088332,0.8554216867469879
FundRaising,23,21,0,4.619047619047619,21.0,0,66.371872,19.501703000000006,85.873575,1.0
PermissionGroups,58,86,1,9.16470588235294,85.0,100,8859.18432,2922.3166679999995,11781.500988,0.9883720930232558
Reentrance,9,14,1,2.0,13.0,100,5783.235705,1125.3245610000004,6908.560266,0.9285714285714286
Greeter,15,81,0,5.54320987654321,81.0,6,729.502964,306.66815399999996,1036.171118,1.0
LotteryMultipleWinners,31,45,0,7.977777777777778,45.0,86,11405.54809,3544.3082830000003,14949.856373,1.0
EasyPayAndWithDraw,7,8,0,12.0,8.0,2,334.504147,61.67461900000001,396.178766,1.0
EIP20StandardToken,24,13,1,5.846153846153846,13.0,0,64.453517,19.887636,84.341153,1.0
VulnerableTwoStep,11,10,0,6.3,10.0,0,60.833951,13.040582,73.874533,1.0
Greeter3,15,73,0,8.58904109589041,73.0,0,106.988495,45.10837900000001,152.096874,1.0
Greeter3,15,73,0,7.767123287671233,73.0,0,96.808308,41.800067999999996,138.608376,1.0
AddressBook,19,54,0,7.462962962962963,54.0,3,370.290714,138.31764600000002,508.60836,1.0
PermissionGroups,58,86,1,8.988372093023257,86.0,71,6443.755611,2234.7633159999996,8678.518927,1.0
VulnerableTwoStep,11,10,0,6.6,10.0,0,62.222541,12.263714999999998,74.486256,1.0
EIP20StandardToken,24,13,1,4.076923076923077,13.0,0,79.539413,25.250771,104.790184,1.0
EasyPayAndWithDraw,7,8,0,11.5,8.0,1,181.885348,37.18986699999999,219.075215,1.0
GuessTheNumberChallenge,6,8,0,24.5,8.0,0,19.535513,7.2861329999999995,26.821646,1.0
PermissionGroups,58,86,1,5.083333333333333,84.0,100,13624.640534,5955.466968999999,19580.107503,0.9767441860465116
LotteryFor10,45,44,1,3.86046511627907,43.0,100,11779.196287,4872.500719999998,16651.697007,0.9772727272727273
SecureAuction,11,6,1,3.1666666666666665,6.0,0,70.362773,17.780744,88.143517,1.0
FundRaising,23,21,0,6.095238095238095,21.0,0,63.597149,19.52574,83.122889,1.0
BasicToken,11,8,0,2.75,8.0,0,70.47896,21.569548999999995,92.048509,1.0
BasicToken,11,8,0,3.375,8.0,0,76.700074,22.563221999999996,99.263296,1.0
Greeter2,13,60,0,8.15,60.0,0,127.526535,58.29792499999999,185.82446,1.0
Greeter,15,81,0,6.716049382716049,81.0,0,113.122617,53.51183400000001,166.634451,1.0
