Name,Tot. Statements,Deployed,Tot. Branches,Avg. Test Case Lenght,Branches Covered,Generations,Blockchain Time,Offchain Time,Total time
Casino,38,N,8219.099212,5.52,25,100,6675.188309,1543.910902999999,8219.099212
MyAdvancedToken,53,Y,128.955149,3.3333333333333335,3,0,93.113597,35.84155200000001,128.955149
GuardCheck,10,N,155.924933,2.9285714285714284,14,1,129.042221,26.882711999999998,155.924933
Casino,38,N,8343.191921,5.84,25,100,6852.547195,1490.6447259999995,8343.191921
Rubixi,56,Y,6352.253653,2.656716417910448,67,100,4382.686017,1969.5676359999998,6352.253653
Randomness,22,N,7658.86964,2.4375,16,100,6244.4947,1414.3749399999997,7658.86964
OpenAddressLottery,30,Y,23006.398185,2.625,32,100,18494.127454,4512.270730999997,23006.398185
Reentrance,9,Y,6761.790721,2.0,13,100,5617.346519,1144.4442020000006,6761.790721
Greeter2,13,N,188.262624,7.783333333333333,60,0,128.321613,59.941010999999975,188.262624
Reentrance,9,Y,7169.543436,2.3846153846153846,13,100,5967.365854,1202.1775820000003,7169.543436
OpenAddressLottery,30,Y,25371.777039,2.03125,32,100,19783.766392,5588.010646999999,25371.777039
Randomness,22,N,7981.516951,2.4375,16,100,6557.695812,1423.8211389999997,7981.516951
Rubixi,56,Y,5388.968281,4.402985074626866,67,100,3775.391429,1613.5768520000006,5388.968281
GuardCheck,10,N,246.297596,3.5,14,2,204.889029,41.408567000000005,246.297596
Casino,38,N,7789.189387,5.72,25,100,6386.419251,1402.770136,7789.189387
Casino,38,N,7123.661555,5.72,25,100,5805.88993,1317.7716249999994,7123.661555
MultiSigWallet (1),56,N,16515.179873,2.8548387096774195,61,100,12301.277028,4213.9028450000005,16515.179873
MyAdvancedToken,53,Y,133.231319,2.0,3,0,94.073892,39.15742700000001,133.231319
GuardCheck,10,N,161.864466,5.142857142857143,14,1,134.925248,26.939217999999983,161.864466
BadAuction,7,N,84.380484,3.0,7,0,70.717705,13.662779,84.380484
OpenAddressLottery,30,Y,25272.385563,2.03125,32,100,19790.996384,5481.389179000002,25272.385563
Greeter2,13,N,178.544316,6.5,60,0,121.402024,57.14229200000001,178.544316
Greeter2,13,N,171.552963,5.85,60,0,119.147051,52.405912,171.552963
BadAuction,7,N,88.530421,2.857142857142857,7,0,74.021684,14.50873700000001,88.530421
GuardCheck,10,N,172.950188,4.642857142857143,14,1,142.75207,30.198117999999994,172.950188
MyAdvancedToken,53,Y,132.483461,2.3333333333333335,3,0,95.66901,36.814451000000005,132.483461
MultiSigWallet (1),56,N,10091.503641,6.225352112676056,70,69,7614.422575,2477.0810659999997,10091.503641
theRun,62,Y,10885.636202,2.0588235294117645,34,100,8222.891109,2662.7450929999995,10885.636202
Casino,38,N,8473.663093,5.72,25,100,6921.17335,1552.4897429999992,8473.663093
FixedSupplyToken,39,Y,7315.522444,2.0,21,100,5824.646322,1490.8761220000006,7315.522444
Casino,38,N,8755.020022,5.88,25,100,7107.036802,1647.983220000001,8755.020022
theRun,62,Y,8233.157813,2.2058823529411766,34,100,6195.005704,2038.1521089999997,8233.157813
GuardCheck,10,N,246.488189,3.5,14,1,202.526601,43.961588000000006,246.488189
MyAdvancedToken,53,Y,125.806028,2.6666666666666665,3,0,88.444425,37.361603,125.806028
Greeter2,13,N,201.042478,7.766666666666667,60,0,134.15083,66.89164799999998,201.042478
OpenAddressLottery,30,Y,24857.062253,2.6875,32,100,19435.160745,5421.901507999999,24857.062253
Prover,27,Y,201.708121,3.3529411764705883,17,0,142.57879,59.12933100000001,201.708121
Prover,27,Y,213.498525,6.117647058823529,17,0,150.140001,63.35852399999999,213.498525
OpenAddressLottery,30,Y,24736.775596,3.0625,32,100,19520.217553,5216.558043000001,24736.775596
Greeter2,13,N,166.92974,5.316666666666666,60,0,114.762394,52.16734600000001,166.92974
