Name,Tot. Statements,Tot. Branches,Deployed,Avg. Test Case Length,Branches Covered,Generations,Blockchain Time,Offchain Time,Total Time,Branch %
Casino,38,29,0,3.6,20.0,101,11097.993499,2459.2477959999997,13557.241295,0.6896551724137931
MyAdvancedToken,53,3,1,3.0,3.0,1,91.336276,34.370835,125.707111,1.0
GuardCheck,10,14,0,4.571428571428571,14.0,1,57.086119,11.166308999999998,68.252428,1.0
Casino,38,29,0,10.4,25.0,101,10684.631058,2416.781255,13101.412313,0.8620689655172413
Rubixi,56,102,1,3.217391304347826,69.0,101,8632.668606,3531.0699440000008,12163.73855,0.6764705882352942
Randomness,22,17,0,2.5625,16.0,101,7461.624999,1487.7483940000002,8949.373393,0.9411764705882353
OpenAddressLottery,30,34,1,2.09375,32.0,101,8186.867839,1964.1187060000002,10150.986545,0.9411764705882353
Reentrance,9,14,1,2.0,13.0,101,7826.543069,1588.1656670000002,9414.708736,0.9285714285714286
Greeter2,13,60,0,8.35,60.0,1,123.149144,55.129189999999994,178.278334,1.0
Reentrance,9,14,1,2.0,13.0,101,7792.10108,1580.5718639999996,9372.672944,0.9285714285714286
OpenAddressLottery,30,34,1,2.09375,32.0,101,8184.988405,1967.6707740000002,10152.659179,0.9411764705882353
Randomness,22,17,0,2.4375,16.0,101,7410.234513,1471.092248,8881.326761,0.9411764705882353
Rubixi,56,102,1,3.710144927536232,69.0,101,8655.35065,3550.751984999999,12206.102635,0.6764705882352942
GuardCheck,10,14,0,4.857142857142857,14.0,1,63.499408,12.968788000000004,76.468196,1.0
Casino,38,29,0,9.32,25.0,101,11225.036778,2476.2631089999995,13701.299887,0.8620689655172413
Casino,38,29,0,8.041666666666666,24.0,101,11053.545472,2461.872999000001,13515.418471,0.8275862068965517
MultiSigWallet (1),56,70,0,5.78125,63.0,101,7652.464804,2083.599659999999,9736.064464,0.9
MyAdvancedToken,53,3,1,2.6666666666666665,3.0,1,94.103632,39.45480499999999,133.558437,1.0
GuardCheck,10,14,0,4.071428571428571,14.0,1,54.624016,10.692727000000005,65.316743,1.0
BadAuction,7,7,0,3.4285714285714284,7.0,1,75.936514,14.528061999999991,90.464576,1.0
OpenAddressLottery,30,34,1,2.125,32.0,101,8199.312106,1975.3190890000005,10174.631195,0.9411764705882353
Greeter2,13,60,0,5.65,60.0,2,240.290687,104.987978,345.278665,1.0
Greeter2,13,60,0,5.516666666666667,60.0,2,221.70675,97.00455699999998,318.711307,1.0
BadAuction,7,7,0,2.4285714285714284,7.0,1,72.771038,13.520866999999996,86.291905,1.0
GuardCheck,10,14,0,5.642857142857143,14.0,1,68.342478,13.432906000000003,81.775384,1.0
MyAdvancedToken,53,3,1,3.3333333333333335,3.0,1,106.02801,41.014763000000016,147.042773,1.0
MultiSigWallet (1),56,70,0,5.921875,63.0,101,7795.914215,2171.5756819999997,9967.489897,0.9
theRun,62,83,1,2.1176470588235294,34.0,101,7352.743414,1831.9332480000003,9184.676662,0.40963855421686746
Casino,38,29,0,10.44,25.0,101,11013.609431,2460.142641999999,13473.752073,0.8620689655172413
FixedSupplyToken,39,22,1,4.545454545454546,22.0,8,1037.807535,296.4899250000001,1334.29746,1.0
Casino,38,29,0,9.333333333333334,24.0,101,10987.108338,2430.5678750000006,13417.676213,0.8275862068965517
theRun,62,83,1,2.1176470588235294,34.0,101,7451.356704,1828.7963899999995,9280.153094,0.40963855421686746
GuardCheck,10,14,0,4.785714285714286,14.0,1,55.663699,10.791693000000002,66.455392,1.0
MyAdvancedToken,53,3,1,2.3333333333333335,3.0,1,89.538137,35.235935,124.774072,1.0
Greeter2,13,60,0,10.316666666666666,60.0,1,144.912524,63.694500000000005,208.607024,1.0
OpenAddressLottery,30,34,1,2.03125,32.0,101,8133.502919,1959.9135919999999,10093.416511,0.9411764705882353
Prover,27,17,1,4.176470588235294,17.0,1,136.934836,59.15566000000001,196.090496,1.0
Prover,27,17,1,5.352941176470588,17.0,1,125.735211,53.47218499999998,179.207396,1.0
OpenAddressLottery,30,34,1,2.09375,32.0,101,8211.362231,1988.4892260000015,10199.851457,0.9411764705882353
Greeter2,13,60,0,7.416666666666667,60.0,1,120.602023,57.151865999999984,177.753889,1.0
theRun,62,83,1,2.1470588235294117,34.0,101,7405.234902,1823.7854939999997,9229.020396,0.40963855421686746
MyAdvancedToken,53,3,1,3.0,3.0,1,110.232659,46.16306999999999,156.395729,1.0
Casino,38,29,0,9.875,24.0,101,10909.670695,2420.5808049999996,13330.2515,0.8275862068965517
Rubixi,56,102,1,3.9420289855072466,69.0,101,8611.545625,3498.0326669999995,12109.578292,0.6764705882352942
FixedSupplyToken,39,22,1,4.909090909090909,22.0,3,415.880602,126.273665,542.154267,1.0
GuardCheck,10,14,0,6.0,14.0,1,66.850832,13.485538000000005,80.33637,1.0
MyAdvancedToken,53,3,1,4.666666666666667,3.0,1,105.530968,44.91378399999999,150.444752,1.0
OpenAddressLottery,30,34,1,2.09375,32.0,101,8247.746824,1985.3109010000007,10233.057725,0.9411764705882353
EzToken,31,11,1,4.363636363636363,11.0,1,108.32868,38.854027999999985,147.182708,1.0
Greeter2,13,60,0,7.016666666666667,60.0,1,132.672023,61.251802999999995,193.923826,1.0
